[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036878.648305437] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=104.671m, x=2.793595723744713e-23, y=-2.234459017813606e-10
[WARN] [1775036878.939669425] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.046690717] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.138450847] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.238460053] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.341702276] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.443418211] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.543280204] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.644184655] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.735285662] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.838748142] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036879.938715532] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.526m, x=99.7, y=10.099997558593751
[WARN] [1775036880.034355217] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.555m, x=99.256435546875, y=10.099997558593751
[WARN] [1775036880.137035737] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.584m, x=98.919111328125, y=10.099997558593751
[WARN] [1775036880.234750612] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.610m, x=98.66333984375001, y=10.099997558593751
[WARN] [1775036880.335574514] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.633m, x=98.46861328125, y=10.099997558593751
[WARN] [1775036880.438868025] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.651m, x=98.31975585937501, y=10.099997558593751
[WARN] [1775036880.536413704] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.666m, x=98.20544921875, y=10.099997558593751
[WARN] [1775036880.640573004] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.678m, x=98.1170703125, y=10.099997558593751
[WARN] [1775036880.739986072] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.687m, x=98.048154296875, y=10.099997558593751
[WARN] [1775036880.835296869] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.695m, x=97.993876953125, y=10.099997558593751
[WARN] [1775036880.937677320] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.701m, x=97.950634765625, y=10.099997558593751
[WARN] [1775036881.045082309] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.706m, x=97.915625, y=10.099997558593751
[WARN] [1775036881.144485367] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.711m, x=97.88681640625, y=10.099997558593751
[WARN] [1775036881.233481719] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.714m, x=97.862734375, y=10.099997558593751
[WARN] [1775036881.342237583] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.718m, x=97.842109375, y=10.099997558593751
[WARN] [1775036881.441253228] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.720m, x=97.824140625, y=10.099997558593751
[WARN] [1775036881.534896289] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.723m, x=97.808154296875, y=10.099997558593751
[WARN] [1775036881.640855376] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.725m, x=97.793642578125, y=10.099997558593751
[WARN] [1775036881.743043078] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.727m, x=97.780263671875, y=10.099997558593751
[WARN] [1775036881.835387445] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.729m, x=97.76772460937501, y=10.099997558593751
[WARN] [1775036881.948461612] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.731m, x=97.75579101562501, y=10.099997558593751
[WARN] [1775036882.034924150] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.733m, x=97.744384765625, y=10.099997558593751
[WARN] [1775036882.134757177] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.734m, x=97.733291015625, y=10.099997558593751
