t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1775036876.1610103,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.2471309,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.3646898,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.4479523,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.5498173,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.6496785,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.744091,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.8428686,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036876.9549448,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.0526652,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.1503522,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.243789,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.3448334,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.5457966,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.645277,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036877.809079,fusion,1,0.0,0.0,-3.372499942779541,0.81677732989192,-3.372499942779541,0.81677732989192,3.469997272430251
1775036877.9026377,fusion,1,0.0,0.0,-3.372499942779541,0.81677732989192,-3.372499942779541,0.81677732989192,3.469997272430251
1775036878.169547,fusion,1,0.0,0.0,-0.03749990463256836,0.014292945712804817,-0.03749990463256836,0.014292945712804817,0.040131423406115405
1775036878.2618797,fusion,1,0.0,0.0,-0.02500009536743164,0.011285179108381338,-0.02500009536743164,0.011285179108381338,0.02742918219504409
1775036878.358722,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036878.4661052,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036878.6543188,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036878.752323,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036878.8387964,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036878.9481528,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036879.0531297,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
