t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1775036915.8347554,unicycle,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036915.9374492,unicycle,1,0.0,0.0,3.445599361384666e-11,0.0,3.445599361384666e-11,0.0,3.445599361384666e-11
1775036916.0276911,unicycle,1,0.0,0.0,-5.618083775971172e-11,0.0,-5.618083775971172e-11,0.0,5.618083775971172e-11
1775036916.1337767,unicycle,1,0.0,0.0,-1.5442225276274257e-10,0.0,-1.5442225276274257e-10,0.0,1.5442225276274257e-10
1775036916.2279773,unicycle,1,0.0,0.0,-3.0770275216696064e-10,0.0,-3.0770275216696064e-10,0.0,3.0770275216696064e-10
1775036916.3451848,unicycle,1,0.0,0.0,-4.486051530250279e-10,0.0,-4.486051530250279e-10,0.0,4.486051530250279e-10
1775036916.429013,unicycle,1,0.0,0.0,-6.057372381462756e-10,0.0,-6.057372381462756e-10,0.0,6.057372381462756e-10
1775036916.6273248,unicycle,1,0.0,0.0,-7.407048308039066e-10,0.0,-7.407048308039066e-10,0.0,7.407048308039066e-10
1775036916.738815,unicycle,1,0.0,0.0,-8.709251098082404e-10,0.0,-8.709251098082404e-10,0.0,8.709251098082404e-10
1775036916.8342228,unicycle,1,0.0,0.0,-9.572822534664738e-10,0.0,-9.572822534664738e-10,0.0,9.572822534664738e-10
1775036916.9294462,unicycle,1,0.0,0.0,-1.0175766895770266e-09,0.0,-1.0175766895770266e-09,0.0,1.0175766895770266e-09
1775036917.0306978,unicycle,1,0.0,0.0,-1.0619234380726539e-09,0.0,-1.0619234380726539e-09,0.0,1.0619234380726539e-09
1775036917.130284,unicycle,1,0.0,0.0,-1.0922427406967472e-09,0.0,-1.0922427406967472e-09,0.0,1.0922427406967472e-09
1775036917.230169,unicycle,1,0.0,0.0,-1.1117329279386468e-09,0.0,-1.1117329279386468e-09,0.0,1.1117329279386468e-09
1775036917.33836,unicycle,1,0.0,0.0,-1.1237832886479282e-09,0.0,-1.1237832886479282e-09,0.0,1.1237832886479282e-09
1775036917.4339077,unicycle,1,0.0,0.0,-1.1271299449333583e-09,0.0,-1.1271299449333583e-09,0.0,1.1271299449333583e-09
1775036917.5348508,unicycle,1,0.0,0.0,-1.1273493250030242e-09,0.0,-1.1273493250030242e-09,0.0,1.1273493250030242e-09
1775036917.6807415,unicycle,1,0.0,0.0,-1.126802207096489e-09,0.0,-1.126802207096489e-09,0.0,1.126802207096489e-09
1775036917.7756689,unicycle,1,0.0,0.0,-1.1200809169054082e-09,0.0,-1.1200809169054082e-09,0.0,1.1200809169054082e-09
1775036917.874105,unicycle,1,0.0,0.0,-1.1145417921909484e-09,0.0,-1.1145417921909484e-09,0.0,1.1145417921909484e-09
1775036917.9677212,unicycle,1,0.0,0.0,-1.1095444563125056e-09,0.0,-1.1095444563125056e-09,0.0,1.1095444563125056e-09
1775036918.1837425,unicycle,1,0.0,0.0,-1.1168719282750317e-09,0.0,-1.1168719282750317e-09,0.0,1.1168719282750317e-09
1775036918.273072,unicycle,1,0.0,0.0,-1.1042451397713648e-09,0.0,-1.1042451397713648e-09,0.0,1.1042451397713648e-09
1775036918.3739243,unicycle,1,0.0,0.0,-1.0989742449396545e-09,0.0,-1.0989742449396545e-09,0.0,1.0989742449396545e-09
1775036918.46427,unicycle,1,0.0,0.0,-1.09590736485643e-09,0.0,-1.09590736485643e-09,0.0,1.09590736485643e-09
1775036918.56022,unicycle,1,0.0,0.0,-1.0938028260909505e-09,0.0,-1.0938028260909505e-09,0.0,1.0938028260909505e-09
1775036918.644062,unicycle,1,0.0,0.0,-1.0924128268641198e-09,0.0,-1.0924128268641198e-09,0.0,1.0924128268641198e-09
1775036918.738841,unicycle,1,0.0,0.0,-1.0913598913475653e-09,0.0,-1.0913598913475653e-09,0.0,1.0913598913475653e-09
1775036924.933702,unicycle,1,-1.35923395518084,0.5328874122263646,-9.085227195670953e-05,3.561861584855386e-05,1.3591431029088832,-0.532851793610516,1.4598633525569202
1775036925.0315418,unicycle,1,-1.35923395518084,0.5328874122263646,-8.335354116262295e-05,3.418911555375104e-05,1.3591506016396773,-0.5328532231108108,1.4598708556982278
1775036925.1383464,unicycle,1,-1.3406047219088284,0.5255838248842127,-7.359264008055533e-05,3.0440549266375072e-05,1.3405311292687478,-0.5255533843349464,1.4398715457722124
1775036925.2345078,unicycle,1,-1.3406047219088284,0.5255838248842127,-6.0947675432299064e-05,2.418137554516253e-05,1.340543774233396,-0.5255596435086676,1.439885602928537
1775036925.35066,unicycle,1,-1.3406047219088284,0.5255838248842127,-4.953291732823217e-05,1.8418319214896783e-05,1.3405551889915002,-0.5255654065649978,1.4398983336714672
1775036925.7362795,unicycle,1,-1.2847442976905723,0.5036837562506465,-1.422066405076805e-05,2.603370329312682e-07,1.2847300770265215,-0.5036834959136136,1.3799378373217872
1775036925.837215,unicycle,1,-1.2847442976905723,0.5036837562506465,-9.241474833387997e-06,-2.039573893219959e-06,1.284735056215739,-0.5036857958245398,1.379943312453471
1775036925.9294505,unicycle,1,-1.2847442976905723,0.5036837562506465,-5.6357300293186086e-06,-3.512205751010633e-06,1.284738661960543,-0.5036872684563976,1.3799472069399008
1775036926.1401508,unicycle,1,-1.2474949230124674,0.4890801460306337,-1.0570864552583714e-06,-4.993091372695879e-06,1.2474938659260122,-0.4890851391220064,1.3399422445885567
1775036926.2359107,unicycle,1,-1.2474949230124674,0.4890801460306337,-5.205433861732445e-09,-5.01797099816681e-06,1.2474949178070336,-0.4890851640016319,1.3399432329770096
1775036926.3402123,unicycle,1,-1.228874781606373,0.48178012315277596,5.865345142908041e-07,-4.813546212623088e-06,1.2288753681408873,-0.4817849366989886,1.319943709274547
1775036926.4347742,unicycle,1,-1.228874781606373,0.48178012315277596,8.476757673570035e-07,-4.449628440261755e-06,1.2288756292821403,-0.4817845727812162,1.3199438195671644
1775036926.5422766,unicycle,1,-1.210263732066209,0.4744836647392158,9.097126651980147e-07,-4.010080695171503e-06,1.2102646417788743,-0.474487674819911,1.2999534825124137
1775036926.6429634,unicycle,1,-1.210263732066209,0.4744836647392158,7.595778659386099e-07,-3.4882822725901264e-06,1.210264491644075,-0.4744871530214884,1.2999531522777767
1775036926.7376335,unicycle,1,-1.1916526825260445,0.46718720632565736,6.205049500884741e-07,-3.023187869266586e-06,1.1916533030309946,-0.4671902295135266,1.2799626186641473
1775036926.840389,unicycle,1,-1.1823335199570808,0.4635336304224336,4.072007109279241e-07,-2.549020489683862e-06,1.1823339271577917,-0.4635361794429233,1.2699524813790901
1775036926.9389315,unicycle,1,-1.1730234492540337,0.4598836189835039,2.0505612141619167e-07,-2.1207783429399996e-06,1.173023654310155,-0.4598857397618468,1.2599521368716557
1775036927.0309856,unicycle,1,-1.163722470416917,0.4562371720088735,4.089825855757567e-08,-1.7528587713533383e-06,1.1637225113151755,-0.45623892486764484,1.2499616153730815
1775036927.1447804,unicycle,1,-1.163722470416917,0.4562371720088735,-1.2740437416169925e-07,-1.4218665529419638e-06,1.1637223430125427,-0.4562385938754264,1.2499613378693073
1775036927.2380424,unicycle,1,-1.145093237144892,0.44893358466671646,-1.8939172763410284e-07,-1.1906420975815735e-06,1.1450930477531645,-0.44893477530881404,1.2299514301362497
1775036927.3429594,unicycle,1,-1.1357922583077753,0.44528713769208605,-2.913973857765484e-07,-9.532954352575729e-07,1.1357919669103895,-0.4452880909875213,1.219961014161306
1775036927.4930682,unicycle,1,-1.1264730957388114,0.44163356178886226,-4.366217178919385e-07,-8.511189283355591e-07,1.1264726591170935,-0.4416344129077906,1.2099510760368555
1775036927.58787,unicycle,1,-1.1171630250357645,0.4379835503499326,-4.195314744492862e-07,-7.02072317615432e-07,1.11716260550429,-0.4379842524222502,1.1999510375457039
1775036927.6730614,unicycle,1,-1.107852954332717,0.4343335389110045,-3.867867870432917e-07,-5.878712329154823e-07,1.1078525675459299,-0.43433412678223743,1.1899510263476383
1775036927.7676594,unicycle,1,-1.098542883629683,0.43068352747208,-3.555290746248829e-07,-4.92001670626685e-07,1.0985425281006085,-0.4306840194737506,1.1799510204562484
1775036927.8581002,unicycle,1,-1.08924190479254,0.4270370804974392,-3.1804195366191834e-07,-4.165368633346489e-07,1.0892415867505862,-0.42703749703430255,1.1699607934372231
1775036927.9534082,unicycle,1,-1.079922742223576,0.4233835045942154,-2.795056368576354e-07,-3.5523730879116755e-07,1.0799224627179391,-0.4233838598315242,1.159951041315373
1775036928.0457873,unicycle,1,-1.070621763386459,0.419737057619585,-2.716200828700721e-07,-2.942311975173695e-07,1.070621491766376,-0.41973735185078254,1.149960792014566
1775036928.148846,unicycle,1,-1.0613026008174946,0.4160834817163629,-1.8689644498692815e-07,-2.95684127515905e-07,1.0613024139210496,-0.4160837774004904,1.1399511057981864
1775036928.2416778,unicycle,1,-1.0520016219803776,0.41243703474173243,-1.9639607895527433e-07,-2.380692617487412e-07,1.0520014255842987,-0.4124372728109942,1.1299608415494615
1775036928.3343492,unicycle,1,-1.0520016219803776,0.41243703474173243,-1.9565700792867347e-07,-1.9390924554940625e-07,1.0520014263233697,-0.412437228650978,1.1299608261190754
1775036928.4298284,unicycle,1,-1.0333723887083537,0.4051334473995738,-1.8817414559890722e-07,-1.5992549129428824e-07,1.033372200534208,-0.4051336073250651,1.1099510550565423
1775036928.5338287,unicycle,1,-1.0240623180053199,0.4014834359606493,-1.7650799444268728e-07,-1.3362035766739666e-07,1.0240621414973254,-0.40148356958100695,1.0999510563164143
1775036928.6390097,unicycle,1,-1.0147522473022723,0.3978334245217212,-1.6047131401464299e-07,-1.1452969939096391e-07,1.0147520868309583,-0.3978335390514206,1.0899510642785588
1775036928.7415242,unicycle,1,-1.0054512684651555,0.3941869775470908,-1.4217693600215853e-07,-1.0065365607658805e-07,1.0054511262882195,-0.3941870782007469,1.079960841870987
