t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1775036791.9676466,unicycle,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775036792.0670848,unicycle,1,0.0,0.0,9.090854438120743e-07,2.6909854121681676e-06,9.090854438120743e-07,2.6909854121681676e-06,2.8403941333295417e-06
1775036792.1622064,unicycle,1,0.0,0.0,2.1806394716605837e-06,4.313209461814793e-06,2.1806394716605837e-06,4.313209461814793e-06,4.833111251238979e-06
1775036792.2582886,unicycle,1,0.0,0.0,3.6423968245991034e-06,5.226696925930696e-06,3.6423968245991034e-06,5.226696925930696e-06,6.370668362376355e-06
1775036792.3632376,unicycle,1,0.0,0.0,5.250881565999066e-06,5.5875533876426076e-06,5.250881565999066e-06,5.5875533876426076e-06,7.667627408782013e-06
1775036792.4734437,unicycle,1,0.0,0.0,7.249533533926211e-06,5.260254648420393e-06,7.249533533926211e-06,5.260254648420393e-06,8.956897645153092e-06
1775036792.568391,unicycle,1,0.0,0.0,9.438467827305175e-06,4.516174989865895e-06,9.438467827305175e-06,4.516174989865895e-06,1.0463293528624966e-05
1775036792.659044,unicycle,1,0.0,0.0,1.1404526365499379e-05,3.799862442144253e-06,1.1404526365499379e-05,3.799862442144253e-06,1.2020905797841898e-05
1775036792.7584143,unicycle,1,0.0,0.0,-9.69752386659195e-06,1.4656190388984136e-05,-9.69752386659195e-06,1.4656190388984136e-05,1.757401166100875e-05
1775036792.8530326,unicycle,1,0.0,0.0,2.151640702363622e-05,-3.432350146659324e-05,2.151640702363622e-05,-3.432350146659324e-05,4.0509980549662206e-05
1775036792.9647632,unicycle,1,0.0,0.0,2.8883356136599758e-05,-5.6387238083543956e-05,2.8883356136599758e-05,-5.6387238083543956e-05,6.335431224789615e-05
1775036793.0637343,unicycle,1,0.0,0.0,1.9905997735047976e-05,-3.850953887096775e-05,1.9905997735047976e-05,-3.850953887096775e-05,4.335012491195742e-05
1775036793.1688128,unicycle,1,0.0,0.0,1.0932824956899623e-05,-1.7066314118241444e-05,1.0932824956899623e-05,-1.7066314118241444e-05,2.0267849888942203e-05
1775036793.2644186,unicycle,1,0.0,0.0,4.557898217960599e-06,2.3868871601440134e-07,4.557898217960599e-06,2.3868871601440134e-07,4.564143782621337e-06
1775036793.3596892,unicycle,1,0.0,0.0,7.219281745740602e-07,1.232373357229477e-05,7.219281745740602e-07,1.232373357229477e-05,1.2344860851793716e-05
1775036793.458393,unicycle,1,0.0,0.0,-1.230546348818251e-06,2.0134553125328303e-05,-1.230546348818251e-06,2.0134553125328303e-05,2.0172121204108845e-05
1775036793.5640492,unicycle,1,0.0,0.0,-1.63455631385645e-06,2.4307436066406396e-05,-1.63455631385645e-06,2.4307436066406396e-05,2.4362332040787936e-05
1775036793.6651363,unicycle,1,0.0,0.0,-3.7969042843144507e-07,2.4719427142883e-05,-3.7969042843144507e-07,2.4719427142883e-05,2.4722342993610925e-05
1775036793.766732,unicycle,1,0.0,0.0,1.6976236856258708e-06,2.3141384838498702e-05,1.6976236856258708e-06,2.3141384838498702e-05,2.3203569087997983e-05
