t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1775038136.0181248,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.1160884,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.2144923,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.3288128,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.41621,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.5267756,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.6220043,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.71863,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.815205,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038136.917401,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.0239217,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.1115906,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.2124343,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.318558,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.413465,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.515455,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.6170077,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.7221417,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.812614,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038137.9204125,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.0160372,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.1238778,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.2153456,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.3577797,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.4550416,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.5411394,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.6374156,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.7241344,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775038138.8223057,fusion,1,-0.006109547566966852,0.0047730840366928505,-3.8349997997283936,2.996093593537807,-3.8288902521614268,2.991320509501114,4.8588474923235445
1775038138.9233253,fusion,1,-0.006109547566966852,0.0047730840366928505,-3.8349997997283936,2.996093593537807,-3.8288902521614268,2.991320509501114,4.8588474923235445
