t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1774349361.0632114,unicycle,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774349361.164764,unicycle,1,0.0,0.0,-0.00030932690035667676,-9.538633238659333e-05,-0.00030932690035667676,-9.538633238659333e-05,0.0003236999902539929
1774349361.2614484,unicycle,1,0.0,0.0,-0.0005197977612363402,-0.0002114134772868148,-0.0005197977612363402,-0.0002114134772868148,0.0005611464790630107
1774349361.3643355,unicycle,1,0.0,0.0,-0.000693575201481611,-0.00032010521308800666,-0.000693575201481611,-0.00032010521308800666,0.0007638808202569138
1774349361.474085,unicycle,1,0.0,0.0,-0.0008338252498591991,-0.0004224596990181073,-0.0008338252498591991,-0.0004224596990181073,0.000934738864387924
1774349361.5652306,unicycle,1,0.0,0.0,-0.0009596537274085826,-0.0005119682933496517,-0.0009596537274085826,-0.0005119682933496517,0.0010876795529587476
1774349361.7612543,unicycle,1,0.0,0.0,-0.0010783688391562407,-0.0005876275515810381,-0.0010783688391562407,-0.0005876275515810381,0.0012280820382369834
1774349361.8678608,unicycle,1,0.0,0.0,-0.0011659966140267208,-0.0006635068245268716,-0.0011659966140267208,-0.0006635068245268716,0.001341562301988063
1774349361.9723217,unicycle,1,0.0,0.0,-0.0012367698466739796,-0.0007340914147411226,-0.0012367698466739796,-0.0007340914147411226,0.0014382245509094197
1774349362.05894,unicycle,1,0.0,0.0,-0.001291818389152155,-0.0008004442682882917,-0.001291818389152155,-0.0008004442682882917,0.0015197058192911047
1774349362.1631737,unicycle,1,0.0,0.0,-0.0013395031525944567,-0.0008596496194163139,-0.0013395031525944567,-0.0008596496194163139,0.0015916237507567867
1774349362.268158,unicycle,1,0.0,0.0,-0.0013789392407010936,-0.0009134548601686943,-0.0013789392407010936,-0.0009134548601686943,0.0016540475238369416
1774349362.3668926,unicycle,1,0.0,0.0,-0.001409923788571188,-0.0009630900409174359,-0.001409923788571188,-0.0009630900409174359,0.0017074623030958196
1774349362.4697921,unicycle,1,0.0,0.0,-0.0014355220242601163,-0.0010079609932276412,-0.0014355220242601163,-0.0010079609932276412,0.0017540549723438872
1774349362.5649767,unicycle,1,0.0,0.0,-0.0014560109613679373,-0.001048786533113688,-0.0014560109613679373,-0.001048786533113688,0.0017944138629826215
1774349362.6659582,unicycle,1,0.0,0.0,-0.001473561044151861,-0.0010852073083107427,-0.001473561044151861,-0.0010852073083107427,0.0018300429101124843
1774349363.0738192,unicycle,1,0.0,0.0,-0.03998314075137799,0.01809590091607005,-0.03998314075137799,0.01809590091607005,0.04388750590212125
1774349363.1697724,unicycle,1,0.0,0.0,-0.02827115153598525,0.008187316542799472,-0.02827115153598525,0.008187316542799472,0.029432807568131165
1774349363.2703378,unicycle,1,0.0,0.0,-0.007365411101063923,-0.024352703596337455,-0.007365411101063923,-0.024352703596337455,0.025442158971650634
1774349363.5712445,unicycle,1,0.0,0.0,-0.003903334885937415,-0.03980266798184984,-0.003903334885937415,-0.03980266798184984,0.03999360451003573
