t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1774607685.7466178,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607685.8510516,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607685.9464045,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.0499678,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.151089,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.2586849,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.349635,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.4557111,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.548513,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.6563885,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.7541869,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.856237,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607686.9478023,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.0509717,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.1558814,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.2454405,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.3520942,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.4669218,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.5592818,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.6523175,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.8531928,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607687.9527984,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.0507374,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.1680927,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.2568176,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.3527918,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.450044,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774607688.5518475,fusion,1,78.96814208797856,-61.693861006233256,668.5,-522.265625,589.5318579120215,-460.57176399376675,748.1137355252407
