t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1774609408.163667,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.2651834,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.3691978,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.4630632,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.5634181,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.6617215,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.7662296,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609408.970583,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.1682487,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.2652547,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.3706305,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.4604402,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.560136,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.659313,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.7692535,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.8715842,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609409.9822013,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.1750634,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.2613666,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.3703823,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.499067,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.5863554,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.6683195,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.7677078,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.866493,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774609410.9651718,fusion,1,78.96814208797858,-61.69386100623322,6.495000123977661,-5.074218846857546,-72.47314196400092,56.61964215937567,91.96814766205733
